2012-09-01	0
2012-09-02	0
2012-09-03	0
2012-09-04	0
2012-09-05	0
2012-09-06	0
2012-09-07	0
2012-09-08	0
2012-09-09	0
2012-09-10	0
2012-09-11	0
2012-09-12	0
2012-09-13	315488
2012-09-14	0
2012-09-15	3157901
2012-09-16	3719493
2012-09-17	885590
2012-09-18	0
2012-09-19	0
2012-09-20	533164
2012-09-21	3153930
2012-09-22	0
2012-09-23	0
2012-09-24	720509
2012-09-25	3197489
2012-09-26	2678503
2012-09-27	2709208
2012-09-28	3113366
2012-09-29	0
2012-09-30	0
2012-10-01	504292
2012-10-02	2601388
2012-10-03	0
2012-10-04	0
2012-10-05	0
2012-10-06	1280036
2012-10-07	3425174
2012-10-08	649593
2012-10-09	405231
2012-10-10	2876476
2012-10-11	0
2012-10-12	0
2012-10-13	0
2012-10-14	1008851
2012-10-15	0
2012-10-16	1213718
2012-10-17	2583265
2012-10-18	630795
2012-10-19	1753206
2012-10-20	1274336
2012-10-21	1146027
2012-10-22	762959
2012-10-23	682253
2012-10-24	807068
2012-10-25	1065070
2012-10-26	1406189
2012-10-27	1508445
2012-10-28	1408314
2012-10-29	1353776
2012-10-30	1362716
2012-10-31	1183618
2012-11-01	1019000
2012-11-02	639223
2012-11-03	823055
2012-11-04	814771
2012-11-05	547763
2012-11-06	853851
2012-11-07	751632
2012-11-08	1311494
2012-11-09	1774226
2012-11-10	2059115
2012-11-11	1981743
2012-11-12	1720333
2012-11-13	1436934
2012-11-14	1222792
2012-11-15	1021640
2012-11-16	1010248
2012-11-17	995524
2012-11-18	917670
2012-11-19	872318
2012-11-20	857882
2012-11-21	922874
2012-11-22	896681
2012-11-23	867401
2012-11-24	854312
2012-11-25	818065
2012-11-26	796425
2012-11-27	813334
2012-11-28	846533
2012-11-29	823755
2012-11-30	799788
2012-12-01	875855
2012-12-02	801688
2012-12-03	796410
2012-12-04	782725
2012-12-05	1504991
2012-12-06	1704265
2012-12-07	1698148
2012-12-08	1579985
2012-12-09	1400662
2012-12-10	1389748
2012-12-11	1242084
2012-12-12	1122637
2012-12-13	1028477
2012-12-14	780694
2012-12-15	937067
2012-12-16	924408
2012-12-17	1103566
2012-12-18	847035
2012-12-19	930351
2012-12-20	1308101
2012-12-21	1220667
2012-12-22	1281803
2012-12-23	1223163
2012-12-24	1273152
2012-12-25	971085
2012-12-26	1079060
2012-12-27	962860
2012-12-28	949919
2012-12-29	986993
2012-12-30	911264
2012-12-31	898609
2013-01-01	875969
2013-01-02	965961
2013-01-03	1023430
2013-01-04	1458280
2013-01-05	1646874
2013-01-06	1267405
2013-01-07	1382158
2013-01-08	1075105
2013-01-09	1447158
2013-01-10	1472346
2013-01-11	1330404
2013-01-12	1292395
2013-01-13	1365529
2013-01-14	1342000
2013-01-15	1534421
2013-01-16	1355361
2013-01-17	1485027
2013-01-18	1339410
2013-01-19	1272700
2013-01-20	1265371
2013-01-21	1206062
2013-01-22	1132299
2013-01-23	1121146
2013-01-24	1202397
2013-01-25	1095247
2013-01-26	1142274
2013-01-27	1146264
2013-01-28	1192880
2013-01-29	815273
2013-01-30	115728
2013-01-31	4199
2013-02-01	3385
2013-02-02	3404
2013-02-03	3414
2013-02-04	3832
2013-02-05	4107
2013-02-06	3674
2013-02-07	3469
2013-02-08	3532
2013-02-09	3373
2013-02-10	3202
2013-02-11	787
2013-02-12	0
2013-02-13	375490
2013-02-14	767039
2013-02-15	1379474
2013-02-16	1675546
2013-02-17	1699289
2013-02-18	1655886
2013-02-19	1071492
2013-02-20	1265053
2013-02-21	1180056
2013-02-22	1215092
2013-02-23	455065
2013-02-24	1294847
2013-02-25	1066486
2013-02-26	1047342
2013-02-27	1110894
2013-02-28	755006
2013-03-01	737052
2013-03-02	1019764
2013-03-03	983765
2013-03-04	617129
2013-03-05	831849
2013-03-06	1111116
2013-03-07	503498
2013-03-08	467736
2013-03-09	1031873
2013-03-10	147698
2013-03-11	288664
2013-03-12	1165105
2013-03-13	730402
2013-03-14	0
2013-03-15	337725
2013-03-16	1049623
2013-03-17	1090403
2013-03-18	979135
2013-03-19	0
2013-03-20	1154630
2013-03-21	1553494
2013-03-22	244283
2013-03-23	158427
2013-03-24	126312
2013-03-25	82859
2013-03-26	56695
2013-03-27	89196
2013-03-28	41721
2013-03-29	26615
2013-03-30	51383
2013-03-31	39081
2013-04-01	67263
2013-04-02	45128
2013-04-03	53405
2013-04-04	29872
2013-04-05	30146
2013-04-06	30552
2013-04-07	5402
2013-04-08	928
2013-04-09	408
2013-04-10	0
2013-04-11	0
2013-04-12	0
2013-04-13	0
2013-04-14	0
2013-04-15	0
2013-04-16	0
2013-04-17	0
2013-04-18	0
2013-04-19	0
2013-04-20	0
2013-04-21	0
2013-04-22	0
2013-04-23	0
2013-04-24	0
2013-04-25	0
2013-04-26	0
2013-04-27	0
2013-04-28	0
2013-04-29	0
2013-04-30	0
