ac	398
ad	472
ae	4354
aero	530
af	1579
ag	1445
ai	105
al	6357
am	13580
an	39
ao	357
aq	56
ar	10067
as	285
asia	2207
at	22679
au	157498
aw	3
ax	64
az	1111
ba	229
bb	39
bd	514
be	203178
bf	109
bg	1901
bh	568
bi	153
biz	23572
bj	63
bm	104
bn	177
bo	651
br	178874
bs	190
bt	120
bw	226
by	4146
bz	1965
ca	180234
cat	11703
cc	8994
cd	294
cf	7
ch	33275
ci	80
ck	65
cl	4815
cm	331
cn	41562
co	211131
com	45594482
coop	1005
cr	681
cu	425
cv	56
cx	371
cy	111
cz	8205
de	218617
dj	436
dk	20501
dm	120
do	715
dz	183
ec	768
edu	2442626
ee	2401
eg	1857
es	72814
et	364
eu	108713
fi	21522
fj	282
fk	18
fm	17105
fo	151
fr	107095
gd	3273
ge	1635
gg	25
gh	136
gi	156
gl	49733
gm	217
gov	109141353
gp	24
gr	16852
gs	1746
gt	554
gu	97
gy	173
hk	4363
hn	297
hr	3258
ht	349
hu	9410
id	11909
ie	15801
il	17989
im	10212
in	30465
info	93056
int	685168
io	7935
iq	464
ir	7549
is	4986
it	138521
jm	261
jo	548
jobs	2796
jp	220602
ke	2987
kg	888
kh	179
ki	48
kn	25
kr	73308
kw	469
ky	687
kz	701
la	1050
lb	2768
lc	342
li	2623
lk	722
localhost	60
lr	478
ls	137
lt	2698
lu	1380
lv	3826
ly	503457
ma	1631
mc	155
md	1221
me	182963
mg	123
mil	16223861
mk	189
ml	22
mm	73
mn	699
mo	244
mobi	1857
mp	10766
mr	29
ms	6799
mt	417
mu	452
museum	711
mv	32
mw	112
mx	17896
my	11296
mz	208
na	610
name	3470
nc	157
ne	14
net	9269406
nf	101
ng	1400
ni	126
nl	72164
no	24594
np	1817
nr	363
nu	2835
nz	33134
om	127
org	5588750
pa	309
pe	7846
pf	28
pg	37
ph	6404
pk	5255
pl	99532
pm	20
pn	987
pr	1968
pro	1119
ps	4396
pt	15403
py	860
qa	91
re	186
ro	13116
rs	6104
ru	60560
rw	143
sa	445
sb	38
sc	917
se	50837
sg	10994
sh	221
si	1969
sk	7786
sl	67
sm	674
sn	735
so	418
sr	29
st	5613
su	306
sv	347
sx	54
sy	541
sz	28
tc	463
tel	78
tf	291
tg	50
th	3649
tj	362
tk	2006
tl	349
tm	10
tn	288
to	6687
tr	6185
travel	1577
tt	703
tv	191736
tw	13611
tz	223
ua	9190
ug	595
uk	594020
us	474156
uy	655
uz	254
va	409
vc	247
ve	864
vg	140
vi	97
vn	6837
vu	296
wf	3
whois	17500
ws	8979
xn--p1ai	171
xxx	258
ye	29
za	49893
zm	230
zw	1076
