0	8
1	100
10	118
100	181
101	43
102	69
103	97
104	252
105	11
106	2
107	109
108	164
109	38
11	135
110	80
111	75
112	17
113	737
114	15
115	61
116	77
117	58
118	2424
12	302
120	91
121	109
122	38
123	31
124	11
125	42
126	112
127	11
128	26
129	567
13	1954
130	6
131	173
132	3494
133	39
134	14
135	66
136	87
137	43
138	59
139	11188
14	61
140	160
141	120
142	286
143	33
144	27
145	17
146	56
147	140
148	9
149	36
15	118
150	44
151	31
152	131
153	40
154	6
155	110
156	66
157	34
158	127
159	35
16	14
160	10
161	44
162	211
163	11
164	3
165	171
166	105
167	199
168	47
169	39
17	246
170	2
171	131
172	181
173	521
174	38
175	14
176	53
178	38
179	16
18	12885
180	327
181	93
182	51
183	17
184	16
185	63
186	14
187	65
188	5
189	251
19	36
190	4
191	277
192	51
193	39
194	76
195	7
196	88
197	7
198	12
199	13
2	136
20	51
200	2592
201	90
202	911
203	88
204	253
205	151
206	20
207	18
208	8
21	54
210	67
211	10
212	12
213	22
214	43
215	54
216	41
217	33
218	138
219	2
22	13
220	3
221	2
222	27
223	11
224	36
225	2
226	8
227	46
228	32
229	15
23	124
230	40
231	22
232	12
233	12
234	114
236	125
237	59
238	161
239	17
24	75
240	20
241	40
242	25
243	94
244	43
245	15
246	308
247	22
248	29
249	1
25	7
250	23046
251	37
252	118
253	14
254	8
26	339
27	12
28	9
29	85
3	35
30	84
31	81
32	52
33	24
34	82
35	15
36	56
37	21
38	58
39	101
4	128
40	22
41	37
42	19
43	32
44	284
45	45
46	13
47	23
48	9
49	110
5	1052
50	319
51	315
52	60
53	100
54	38
55	16
56	453
57	59
58	1416
59	18
6	142
60	30
61	107
62	101
63	31
64	1303
65	64
66	32
67	123
68	82
69	38
7	249
70	515
71	67
72	56
73	64
74	15
75	56
76	47
77	29
78	7
79	36
8	76
81	60
82	141
83	58
84	99
85	28
86	28
87	33
88	12
89	29
9	116
90	169
91	20
92	55
93	8
94	11
95	17
96	119
97	13
98	149
99	24
ac	10
ad	2
ae	284
aero	339
af	189
ag	32
ai	12
al	233
am	1687
an	105
ao	48
aq	776
ar	4023
as	44
asia	1036
at	4429
au	50644
aw	2
az	279
b	8
ba	61
bb	158
bd	227
be	4019
bf	293
bg	4139
bh	204
biz	8317
bj	307
bm	112
bn	54
bo	871
br	9415
bs	50
bt	10
bw	206
by	339
bz	661
ca	87623
campaigns	2
cat	43
cc	2135
cd	12
cg	10
ch	8928
ci	7
cl	5682
cm	32
cn	5255
co	2839
com	7809711
coop	4018
cr	2430
css	7
cu	397
cv	284
cx	2
cy	1984
cz	2507
de	37300
dev	4
dj	2
dk	8421
do	2774
dz	61
ec	1222
edu	3552509
education	4
ee	463
eg	5405
es	4073
et	150
eu	10506
fi	2014
fj	321
fm	3154
fo	6
fr	13602
gd	9
ge	1009
gh	479
gi	8
gl	129
gm	41
gov	137829050
gr	2069
gs	112
gt	841
gu	156
gy	363
hk	6221
hn	1222
hr	1321
ht	262
hu	2599
id	919
ie	3540
il	5302
im	71
in	3346
info	34316
int	135939
iq	2
ir	253
is	1197
it	15763
jm	197
jo	1990
jobs	224
jp	23896
ke	3023
kg	48
kh	347
kr	3938
kw	286
ky	39
kz	550
la	18
labs	20
lb	1126
lc	145
li	99
lk	398
localhost	97
ls	291
lt	645
lu	566
lv	494
ly	95
ma	1979
mc	3
md	561
me	35
mg	82
mil	3555425
misc	2
mk	557
ml	6
mm	44
mn	490
mo	486
mobi	51
mp	119
mr	232
ms	113
mt	195
mu	174
museum	851
mv	63
mw	237
mx	14513
my	947
mz	1513
na	1279
name	111
nc	114
ne	91
net	653187
nf	22
ng	369
ni	845
nl	9990
no	3835
np	429
nu	95
null	18772
nz	7213
om	100
org	5108645
pa	713
pe	3130
pf	24
pg	59
ph	1560
pk	1154
pl	4381
pr	3130
pro	7
ps	555
pt	1665
py	718
qa	61
ro	2230
rs	43
ru	5687
rw	12
sa	296
sb	14
sc	63
se	3608
secure	2
security	8
sg	2009
sh	6
si	634
sk	1032
sl	36
sm	4
sn	118
sr	17
ssl	8
st	83
su	25
sv	2135
sz	72
tc	29
th	2152
tj	67
tk	44
tl	49
tm	10
tn	165
to	319
tr	2707
travel	861
tt	379
tv	10373
tw	8190
tz	375
ua	5613
ug	565
uk	70262
us	840516
uy	983
uz	207
va	220
vc	14
ve	1446
vg	31
vi	165
vn	609
vu	246
web	6
webteam	16
ws	3995
www	583
ye	101
yu	357
za	4601
zm	324
zw	721
